CrimeDate,District,Location,Value
2011-01-14,NORTHEASTERN,Outside,7
2011-01-14,NORTHERN,Inside,5
2011-01-14,NORTHERN,Outside,10
2011-01-14,NORTHWESTERN,Inside,8
2011-01-14,SOUTHEASTERN,Inside,4
2011-01-14,SOUTHEASTERN,Outside,9
2011-01-14,SOUTHERN,Inside,9
2011-01-14,SOUTHERN,Outside,6
2011-01-14,SOUTHWESTERN,Inside,6
2011-01-14,SOUTHWESTERN,Outside,9
2011-01-14,WESTERN,Inside,2
2011-01-14,WESTERN,Outside,3
2011-01-15,CENTRAL,Inside,5
2011-01-15,CENTRAL,Outside,8
2011-01-15,EASTERN,Inside,4
2011-01-15,EASTERN,Outside,6
2011-01-15,NORTHEASTERN,Inside,11
2011-01-15,NORTHEASTERN,Outside,10
2011-01-15,NORTHERN,Inside,9
2011-01-15,NORTHERN,Outside,6
2011-01-15,NORTHWESTERN,Inside,4
2011-01-15,NORTHWESTERN,Outside,5
2011-01-15,SOUTHEASTERN,Inside,6
2011-01-15,SOUTHEASTERN,Outside,9
2011-01-15,SOUTHERN,Inside,5
2011-01-15,SOUTHERN,Outside,9
2011-01-15,SOUTHWESTERN,Inside,7
2011-01-15,SOUTHWESTERN,Outside,3
2011-01-15,WESTERN,Inside,4
2011-01-15,WESTERN,Outside,8
2011-01-16,CENTRAL,Inside,3
2011-01-16,CENTRAL,Outside,3
2011-01-16,EASTERN,Inside,5
2011-01-16,EASTERN,Outside,3
2011-01-16,NORTHEASTERN,Inside,6
2011-01-16,NORTHEASTERN,Outside,5
2011-01-16,NORTHERN,Inside,7
2011-01-16,NORTHERN,Outside,3
2011-01-16,NORTHWESTERN,Inside,11
2011-01-16,NORTHWESTERN,Outside,2
2011-01-16,SOUTHEASTERN,Inside,6
2011-01-16,SOUTHEASTERN,Outside,11
2011-01-16,SOUTHERN,Inside,9
2011-01-16,SOUTHERN,Outside,3
2011-01-16,SOUTHWESTERN,Inside,8
2011-01-16,SOUTHWESTERN,Outside,4
2011-01-16,WESTERN,Inside,2
2011-01-16,WESTERN,Outside,2
2011-01-17,CENTRAL,Inside,2
2011-01-17,CENTRAL,Outside,4
2011-01-17,EASTERN,Inside,9
2011-01-17,EASTERN,Outside,3
2011-01-17,NORTHEASTERN,Inside,18
2011-01-17,NORTHEASTERN,Outside,4
2011-01-17,NORTHERN,Inside,3
2011-01-17,NORTHERN,Outside,1
2011-01-17,NORTHWESTERN,Inside,4
2011-01-17,NORTHWESTERN,Outside,4
2011-01-17,SOUTHEASTERN,Inside,8
2011-01-17,SOUTHEASTERN,Outside,7
2011-01-17,SOUTHERN,Inside,11
